,name,group,length,variety,sample_entropy,m_subsample_entropy_rdm,sd_subsample_entropy_rdm,m_subsample_entropy_mav,sd_subsample_entropy_mav,exp_variety,MTLD,zipf_intercept,zipf_slope
19,RobertBurns_PoemsAndSongs.txt,poetry,131643,13440,10.366134146059792,9.440591133619213,0.0012091883327798314,9.209453543741239,0.09246650851483196,1980.8577461050518,97.98612236721613,10.434987000921037,-1.1170119506065015
20,FrancesBurnett_TheSecretGarden.txt,literature,83196,4808,8.919173998142416,8.49259290327088,0.0030555217422971737,8.3545861052474,0.015170128599564237,1180.5187671975139,77.52695902982629,11.296202082531707,-1.361515181175242
21,LouisaAlcott_LittleWomen.txt,literature,191006,10785,9.42170140983085,8.745171730661628,0.001326219556176511,8.656754242812303,0.012241458803799787,1453.9621807086007,119.1752135341196,11.755243066247935,-1.2913740598004024
22,AnnaSewell_BlackBeauty.txt,literature,60674,3949,8.760327503707122,8.394988742097755,0.0028733728640446543,8.263511009739702,0.0042295552144508974,1137.3556566563102,85.47148043818466,10.729928355794186,-1.3238176116355866
23,DanielDefoe_RobinsonCrusoe.txt,literature,112003,5856,8.732975135508616,8.266556402177475,0.0017898199934904824,8.097554361839467,0.005753960077413467,1206.0693405331829,69.8944848673947,11.348634647121518,-1.329003212910676
24,StGeorgeRathborne_TheSpidersWeb.txt,literature,59652,6512,9.395207799327927,8.819809266550354,0.0009327300515451498,8.731309190956734,0.002410170064578665,1529.6428599441397,129.28727699530515,9.518052015706337,-1.1169366806865997
25,RudyardKipling_TheJungleBook.txt,literature,52315,4597,9.087418675817602,8.624609613863452,0.0019189117941778022,8.378832437996557,0.009259073740821577,1340.5506023827393,86.20195936298738,10.072815849405591,-1.2225556218433604
26,LucyMontgomery_AnneOfGreenGables.txt,literature,106885,7531,9.209002660557662,8.636482717240856,0.0007126804859183267,8.517996667967097,0.007533173189713693,1361.0964916055273,95.8867683109118,10.815447423844,-1.2434541693055428
27,RobertStevenson_TreasureIsland.txt,literature,70120,5886,9.060481759666171,8.544918180393704,0.0012837101652820593,8.415993843658852,0.004513666330979049,1355.878224159288,90.1348553984576,10.209312071291338,-1.209714758134375
28,JMBarrie_PeterPan.txt,literature,47894,4808,9.012923173054562,8.562158987647043,0.001667701410312361,8.442366829215858,0.008503857358590494,1304.6386931823736,89.55950914262495,9.439803447484394,-1.1508431911642283
29,JamesJoyce_Ulysses.txt,literature,272255,29882,10.547360847814126,9.342763247700145,0.002343782632593161,9.047759514479988,0.06759504775754976,2042.6492434198958,108.38641510405226,10.326738089067815,-1.0345259723036557
