type,slope,shift,variety,id_draw,sample_entropy,subsample_entropy_rdm,subsample_entropy_mav,exp_variety,mtld
shift,-1.0616022882675031,5.895703592537256,7100.0,2,10.125863985947468,9.45812692030588,9.460566034619744,1793.9357658728838,307.33491403058804
shift,-1.0616022882675031,5.895703592537256,7100.0,3,10.10570164015926,9.442642845862109,9.441725284501848,1785.9310506200295,302.13362095531585
shift,-1.0616022882675031,5.895703592537256,7100.0,4,10.113218895824785,9.451241081187662,9.455130869662993,1782.6980362422714,311.5103804981452
shift,-1.0616022882675031,5.895703592537256,7100.0,5,10.122131145814034,9.45419211316635,9.454396233781978,1796.3804758138506,307.925068483286
shift,-1.0616022882675031,5.895703592537256,7100.0,6,10.120550491903929,9.455452831731526,9.45644987498176,1790.500603695477,306.9019092331768
shift,-1.0616022882675031,5.895703592537256,7100.0,7,10.102079766412668,9.440738278411644,9.440092236733564,1780.772320257871,302.8250961172779
shift,-1.0616022882675031,5.895703592537256,7100.0,8,10.109847226073963,9.446292047635714,9.447067511467196,1784.6105735296994,306.27421250000003
shift,-1.0616022882675031,5.895703592537256,7100.0,9,10.12644151458932,9.462283743421604,9.464040478870556,1795.107247001449,310.50223814051765
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,0,10.411224487239018,9.39529417573571,9.392469897377364,2048.2116777011142,250.6538162715145
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,1,10.414025752885044,9.396475076212166,9.395502652602673,2052.864717062713,249.59168681085663
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,2,10.393646319356588,9.378141705153087,9.38170355828156,2042.4070068254632,244.61006242197251
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,3,10.42234944876548,9.401071069833614,9.402555453220913,2059.2195529953574,249.0036900148242
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,4,10.429790101391012,9.40543084557806,9.40825482690523,2060.95066364977,255.500995954936
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,5,10.394241656351737,9.381379010218746,9.375561481064748,2042.6534500414432,245.06328903508768
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,6,10.42067615678436,9.400935082266948,9.398678701284632,2056.2097115472584,251.87919313375903
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,7,10.40885976419283,9.389612845409223,9.38648302732883,2050.9297741241417,248.0053670886076
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,8,10.406550524778671,9.38558225762989,9.387464877302993,2056.5031224685818,245.84372093105105
variety,-1.0616022882675031,1.9926783254508516,28039.44827586207,9,10.386963300151033,9.377048656048787,9.377205731743803,2038.9125355910985,244.0625236010124
shift,-1.0616022882675031,2.636025766967394,7100.0,0,9.66345076685161,9.03122216755506,9.026801164634152,1656.6498255314,187.55262740768003
shift,-1.0616022882675031,2.636025766967394,7100.0,1,9.639255314930416,9.01325882670511,9.012858087753491,1638.7660892414497,186.2487484157161
shift,-1.0616022882675031,2.636025766967394,7100.0,2,9.651443760555374,9.024576910216428,9.021378171443915,1646.237927482865,187.26849643664173
shift,-1.0616022882675031,2.636025766967394,7100.0,3,9.671629643431723,9.042562751609069,9.044944071219838,1655.0755085605674,190.2003384999716
shift,-1.0616022882675031,2.636025766967394,7100.0,4,9.649669292175794,9.02066747020933,9.020852365357303,1649.4009193340346,187.4983189792664
shift,-1.0616022882675031,2.636025766967394,7100.0,5,9.665632844874848,9.035750898533152,9.035665283122654,1653.2946382888383,187.62197129186603
shift,-1.0616022882675031,2.636025766967394,7100.0,6,9.66231268472458,9.034170786946866,9.032309668684483,1647.1711248618208,190.71541828793772
shift,-1.0616022882675031,2.636025766967394,7100.0,7,9.672196691586104,9.042961647085686,9.044529977423174,1655.7968416703125,190.7765976955534
shift,-1.0616022882675031,2.636025766967394,7100.0,8,9.660641521301404,9.029786256857523,9.029937002667292,1654.8565158393612,186.45043308036543
shift,-1.0616022882675031,2.636025766967394,7100.0,9,9.661545077181056,9.03028916982487,9.03262394684746,1654.2555479247712,187.08662633980688
variety,-1.0616022882675031,1.9926783254508516,16984.137931034482,0,10.096761859703172,9.217157579398734,9.216539697153264,1904.349064023988,208.2010343606093
variety,-1.0616022882675031,1.9926783254508516,16984.137931034482,1,10.115561695068584,9.240026012078102,9.24201688282519,1908.368712577536,214.80862101490283
variety,-1.0616022882675031,1.9926783254508516,16984.137931034482,2,10.116250048713503,9.23556592471962,9.237686510340188,1909.857686978179,210.69156566460765
variety,-1.0616022882675031,1.9926783254508516,16984.137931034482,3,10.107477786586756,9.23030850772081,9.229667726079567,1906.5080005818104,214.5992580348944
